time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-16 19:10:00+00:00,37,STARLINK-6192,85.24628723611961,165.18532644214332,561.2055721777691
2025-05-16 19:11:00+00:00,32,STARLINK-11652 [DTC],84.75483359168963,248.92146951199112,358.20309239954236
2025-05-16 19:12:00+00:00,36,STARLINK-30223,76.99066060318809,67.39187306738324,572.8640962369876
2025-05-16 19:13:00+00:00,41,STARLINK-6203,72.48299981000305,235.1625362040058,584.1804227402133
2025-05-16 19:14:00+00:00,37,STARLINK-33630,79.84417694877543,110.05049864438733,451.1950751150958
2025-05-16 19:15:00+00:00,43,STARLINK-30604,79.11630621255821,355.1848153835219,568.9307333580783
2025-05-16 19:16:00+00:00,34,STARLINK-33766,71.0655404649371,87.05436178508477,506.14058496952885
2025-05-16 19:17:00+00:00,30,STARLINK-30138,78.5271520584847,28.854870073476388,570.0653513059183
2025-05-16 19:18:00+00:00,30,STARLINK-6202,69.68941063978586,258.3431955416321,593.0811202932076
2025-05-16 19:19:00+00:00,36,STARLINK-31416,85.35251325823509,42.13156172563109,485.0731538837296
2025-05-16 19:20:00+00:00,39,STARLINK-30597,72.60953285662447,335.5129706581063,584.4808012088095
2025-05-16 19:21:00+00:00,47,STARLINK-33679,73.1015035743885,342.4822012240349,464.0796227688525
2025-05-16 19:22:00+00:00,46,STARLINK-30218,74.43224794847038,359.9489858196218,579.1546575638594
2025-05-16 19:23:00+00:00,41,STARLINK-33731,83.0397662854918,133.39737428981556,486.8642974722974
2025-05-16 19:24:00+00:00,37,STARLINK-4573,77.95327904507968,278.95664894738076,551.4382929642528
2025-05-16 19:25:00+00:00,36,STARLINK-31555,78.88952190858917,162.3020176613045,492.2397290280636
2025-05-16 19:26:00+00:00,42,STARLINK-5672,58.056109496360655,319.6522051433895,649.8227470383707
2025-05-16 19:27:00+00:00,41,STARLINK-5672,77.93950877643407,91.84289731344322,571.2097954985314
2025-05-16 19:28:00+00:00,38,STARLINK-4200,79.61676531110174,329.46133032564506,548.561366718721
2025-05-16 19:29:00+00:00,41,STARLINK-30496,65.25284359207635,112.03146232956445,610.8078767642884
2025-05-16 19:30:00+00:00,36,STARLINK-5676,84.2203120888422,326.0612805185078,562.3435834235497
2025-05-16 19:31:00+00:00,30,STARLINK-1719,70.47099093070025,58.84613235690607,578.4017855884149
2025-05-16 19:32:00+00:00,37,STARLINK-5681,81.09498205573516,134.70441060804157,565.884754330246
2025-05-16 19:33:00+00:00,40,STARLINK-32592,81.83714821808802,354.2515203080946,487.9970938061189
2025-05-16 19:34:00+00:00,44,STARLINK-31571,57.96912331483006,265.454803103158,562.7070739439264
2025-05-16 19:35:00+00:00,43,STARLINK-5674,79.85707839455422,269.18356171380464,567.8195034039518
2025-05-16 19:36:00+00:00,44,STARLINK-1762,82.78206178157032,263.31740146082603,551.9146163503626
2025-05-16 19:37:00+00:00,41,STARLINK-32653,89.30880469489799,153.152217304509,483.21326961421056
2025-05-16 19:38:00+00:00,36,STARLINK-31210,74.85233317212106,255.32551494348752,498.7552636856151
2025-05-16 19:39:00+00:00,40,STARLINK-30501,67.73988490192416,152.6962414408271,600.4733291136249
2025-05-16 19:40:00+00:00,37,STARLINK-3545,80.3458406909695,180.43325016266337,547.3196800773856
2025-05-16 19:41:00+00:00,36,STARLINK-3060,78.34009841381244,93.99763524066277,586.8571228728249
2025-05-16 19:42:00+00:00,46,STARLINK-3235,86.5888031927205,241.6533121798278,540.8688138142238
2025-05-16 19:43:00+00:00,45,STARLINK-32496,74.137099725274,178.49057362259848,501.00252469406706
2025-05-16 19:44:00+00:00,41,STARLINK-32603,84.6057797499913,344.9583571010091,477.84278271847717
2025-05-16 19:45:00+00:00,41,STARLINK-32430,72.34164031910615,344.38590599780673,505.75633682105473
2025-05-16 19:46:00+00:00,36,STARLINK-3563,74.02801919323751,19.007987041882142,560.4259054361513
2025-05-16 19:47:00+00:00,32,STARLINK-3072,84.9404046436364,255.66225625826297,577.6957877635508
2025-05-16 19:48:00+00:00,31,STARLINK-4591,62.70874243003101,172.38592319851205,601.1253578254209
